"step","policy","affected_rows","details"
"missing_states","error",0,"Missing states were retained as unresolved errors."
"unknown_states","error",0,"Unknown states were retained as unresolved errors."
"zero_durations","preserve",0,"Zero-duration rows were preserved."
"duplicated_positions","error",0,"Duplicated positions were retained as unresolved errors."
"row_order","deterministic_sort",1726,"Rows were ordered by sequence identifier, sequence order, and original row."
"consecutive_repeats","preserve",0,"Consecutive repeated states were preserved."
"unused_state_levels","drop",0,"Unused factor levels were removed."
"column_mapping","canonicalise",1728,"Mapped columns were standardised while unmapped columns were preserved."
